Cantidad de entradas (sin filtro): 707

		Aviso	Fecha	Descripción	Orden	Equipo	Denominación de objeto técnico	Ubicación técnica	CePl	Cl.	Creado por	DAA	DTA	DurParada	IniAvería	FinAvería	Cód.	Texto código p. codificación	GrCCód.	TextoGrp.codif.	A	P	PtoTrbRes	Stat.sist.	S	Act.fijo	ArE	Autor aviso	Calle	CpoClasif	CDis	Centro	Ce.coste	Ce.	Ce.	Cierre	ClPr	Ps	Cliente	Cód.postal	Conjunto	Cont.	Ctrl.técn.	TmpApert	Creado el	CtrlTéc el	DA	DenIntRpEj	Denominación de la ubicación técnica	Conjunto	Den. ejec.	DTM	Distrito	Div.	Doc.venta	Ejecutante	Emplz/Imput.	Emplaz.	Equipo	IAA	ITA	ETM	Fe.PedCpas	Fecha ref.	Fin desead	GVen	GP	HoCierre	HFinAver	Hora des.	HIniAver	HoraDesead	HoraMod	HoraRef	Hora	Ini.desead	Lista	Local	Material	Modif.el	Por	Mon.	Pedido	Nº direc.	Nº objeto	NºSerie	OfVta	OrgVt	P	Ped.clte.	PerfCatál	IntRespEj	Pl.MantPrv	Población	Pos.	Pos.PM	Rg	R	Revisión	Se

		19605504	05.02.2025	No hace la remocion		10169000	MARCO MECÁNICO POLARIS	PI-EC-8600-PR-02-E1-A3	8600	Z1	40285199			    0.00	05.02.2025		0405	Parada de Equipo	PMCOD01	Gravedad de Corte	2		MECANIC1	MEAB			EM	40285095				8600	EC11020	8600	8600		ZM							10:08:19	05.02.2025				EMPACADORAS PC10								000020001567	P003						05.02.2025			MP	00:00:00	00:00:00	00:00:00	10:04:48	11:04:45	00:00:00	10:04:48	10:04:45	05.02.2025									QM000019605504				X		PM0009
		19606283	05.02.2025	DAÑO INTERNO EN QUEMADOR		10169020	INTERCAMBIADOR DE CALOR PC14	PI-EC-8600-PR-01-P1-10	8600	Z1	40285076			    6.00	05.02.2025	05.02.2025					1		MECANIC1	MEAB			PR	40285064				8600	EC11019	8600	8600		ZM							15:02:15	05.02.2025				AREA DE FREIDOR PC14								000020003508	P002						05.02.2025			MP	00:00:00	13:00:00	00:00:00	07:00:00	15:57:51	00:00:00	07:00:00	15:57:51	05.02.2025									QM000019606283				X		PM0143
		19607447	05.02.2025	Revisión sistema de ordeño	48533579	10168931	SISTEMA ROTATORIO DE MORDAZAS IN1-EXT-DR	PI-EC-8600-PR-03-E1-A3	8600	Z2	30152518			    0.00	05.02.2025	05.02.2025	0203	Mejora Continua	PMCOD02	Tipo de Trabajo	2	2	ELECMEC1	MECE ORAS			EM	30152518				8600	EC11028	8600	8600	05.02.2025	ZM							20:03:18	05.02.2025				EMPACADORAS EXT. SUAVES								000020004361	P009						05.02.2025	05.02.2025		MP	21:04:53	19:30:00	19:30:00	18:00:00	18:00:00	20:05:22	21:04:51	18:00:00	05.02.2025				05.02.2025	30152518				QM000019607447						PM0009
		19606578	05.02.2025	Revisión equipo	48533572	10169020	INTERCAMBIADOR DE CALOR PC14	PI-EC-8600-PR-01-P1-10	8600	Z2	30152518			    0.00	05.02.2025	05.02.2025	0203	Mejora Continua	PMCOD02	Tipo de Trabajo	1	2	ELECMEC1	MECE ORAS			PR	30152518				8600	EC11019	8600	8600	05.02.2025	ZM							17:04:28	05.02.2025				AREA DE FREIDOR PC14								000020004215	P002						05.02.2025	05.02.2025		MP	18:05:37	15:30:00	15:30:00	14:00:00	14:00:00	17:05:56	18:05:35	14:00:00	05.02.2025				05.02.2025	30152518				QM000019606578						PM0143
		19607449	05.02.2025	Calibración  infrarrojos	48537021	10169120	HORNO TC1500	PI-EC-8600-PR-05-P1-07	8600	Z2	30152518			    0.00	05.02.2025	05.02.2025	0203	Mejora Continua	PMCOD02	Tipo de Trabajo	1	2	ELECMEC1	MECE ORAS			PR	30152518				8600	EC11021	8600	8600	05.02.2025	ZM							20:30:14	05.02.2025				AREA DE HORNEADO TC1500								000020010865	P006						05.02.2025	05.02.2025		MP	21:31:17	21:30:00	21:30:00	20:00:00	20:00:00	20:31:38	21:31:16	20:00:00	05.02.2025				05.02.2025	30152518				QM000019607449						PM0083
		19606368	05.02.2025	CAMBIO DE CABLE DE ACOMETIDA ELECTRICA	48532825	10169276	TAMBOR SAZONADOR	PI-EC-8600-PR-03-P1-04	8600	Z2	40028452			    0.00	05.02.2025		0322	Correctivo	PMCOD02	Tipo de Trabajo	1	2	MECANIC1	METR ORAS			PR	40028452				8600	EC11027	8600	8600		ZM							15:22:15	05.02.2025				AREA SABORIZADOR								000020003636	P008						05.02.2025			MP	00:00:00	00:00:00	00:00:00	16:19:07	12:00:00	00:00:00	15:22:15	12:00:00	05.02.2025									QM000019606368						PM0044
		19604895	05.02.2025	Cambio de valvula de regulacion.	48531339	10169465	BANDAS DE ARRASTRE FILM ATL6-PC14	PI-EC-8600-PR-01-E1-A3	8600	Z2	40028452			    0.00	04.02.2025						2	2	MECANIC1	METR ORAS			EM	40028452				8600	EC11019	8600	8600		ZM							05:42:37	05.02.2025				EMPACADORAS PC14								000019999846	P001						04.02.2025			MP	00:00:00	00:00:00	00:00:00	09:00:00	10:00:00	05:45:13	09:00:00	10:00:00	04.02.2025				05.02.2025	40028452				QM000019604895						PM0009
		19604412	05.02.2025	MT 1M OE EXTRACTOR DONALDSON	48531823	10168829	EXTRACTOR DE POLVOS DONALDSON PC10	PI-EC-8600-PR-02-P1-06	8600	Z3	BATCHPM8600			    0.00							3	1	ELECTRI3	METR ORAS			PR					8600	EC11020	8600	8600		ZM							23:01:16	04.02.2025				AREA DE SABORIZACIÓN								000019999154	P004						04.02.2025	05.02.2025		MP	00:00:00	00:00:00	08:01:16	00:00:00	00:01:16	00:00:00	23:01:16	00:01:16	05.02.2025									QM000019604412						PM0043
		19604408	05.02.2025	MT 1M FM BANDA INFERIOR	48531239	10168874	BANDA INFERIOR	PI-EC-8600-PR-05-P1-07	8600	Z3	BATCHPM8600			    0.00							1	3	ELECMEC1	METR ORAS			PR					8600	EC11021	8600	8600		ZM							23:00:58	04.02.2025				AREA DE HORNEADO TC1500								000019999136	P006						04.02.2025	12.02.2025		MP	00:00:00	00:00:00	00:00:58	00:00:00	00:00:58	00:00:00	23:00:58	00:00:58	06.02.2025									QM000019604408						PM0080
		19604406	05.02.2025	MT 6M FM BANDAS DE ARRASTRE ATL1-PC14	48531237	10169461	BANDAS DE ARRASTRE FILM ATL1-PC14	PI-EC-8600-PR-01-E1-A3	8600	Z3	BATCHPM8600			    0.00							2	3	ELECTRO2	METR ORAS			EM					8600	EC11019	8600	8600		ZM							23:00:30	04.02.2025				EMPACADORAS PC14								000019998902	P001						04.02.2025	12.02.2025		MP	00:00:00	00:00:00	00:00:30	00:00:00	00:00:30	00:00:00	23:00:30	00:00:30	06.02.2025									QM000019604406						PM0009
